Label (Grouping),Alabama!!Total!!Estimate,Alaska!!Total!!Estimate,Arizona!!Total!!Estimate,Arkansas!!Total!!Estimate,California!!Total!!Estimate,Colorado!!Total!!Estimate,Connecticut!!Total!!Estimate,Delaware!!Total!!Estimate,District of Columbia!!Total!!Estimate,Florida!!Total!!Estimate,Georgia!!Total!!Estimate,Hawaii!!Total!!Estimate,Idaho!!Total!!Estimate,Illinois!!Total!!Estimate,Indiana!!Total!!Estimate,Iowa!!Total!!Estimate,Kansas!!Total!!Estimate,Kentucky!!Total!!Estimate,Louisiana!!Total!!Estimate,Maine!!Total!!Estimate,Maryland!!Total!!Estimate,Massachusetts!!Total!!Estimate,Michigan!!Total!!Estimate,Minnesota!!Total!!Estimate,Mississippi!!Total!!Estimate,Missouri!!Total!!Estimate,Montana!!Total!!Estimate,Nebraska!!Total!!Estimate,Nevada!!Total!!Estimate,New Hampshire!!Total!!Estimate,New Jersey!!Total!!Estimate,New Mexico!!Total!!Estimate,New York!!Total!!Estimate,North Carolina!!Total!!Estimate,North Dakota!!Total!!Estimate,Ohio!!Total!!Estimate,Oklahoma!!Total!!Estimate,Oregon!!Total!!Estimate,Pennsylvania!!Total!!Estimate,Rhode Island!!Total!!Estimate,South Carolina!!Total!!Estimate,South Dakota!!Total!!Estimate,Tennessee!!Total!!Estimate,Texas!!Total!!Estimate,Utah!!Total!!Estimate,Vermont!!Total!!Estimate,Virginia!!Total!!Estimate,Washington!!Total!!Estimate,West Virginia!!Total!!Estimate,Wisconsin!!Total!!Estimate,Wyoming!!Total!!Estimate,Puerto Rico!!Total!!Estimate
        40 to 44 years,"326,605","48,079","445,579","186,669","2,621,983","405,251","220,845","61,791","49,092","1,370,445","714,545","91,400","126,363","819,718","431,664","198,279","174,046","284,224","297,818","79,254","394,375","428,462","607,014","372,010","186,906","389,959","66,533","129,731","207,817","82,262","607,080","134,379","1,238,871","680,609","47,988","715,384","254,122","291,814","776,171","67,117","324,560","51,256","437,548","2,014,742","228,583","37,219","577,984","540,384","116,169","366,232","35,232","213,580"
        45 to 49 years,"301,406","40,154","418,914","175,303","2,430,082","357,983","213,768","53,748","35,551","1,312,755","687,681","82,070","110,707","773,218","402,083","171,706","161,572","267,689","258,315","79,221","377,728","411,045","574,058","321,789","176,499","347,787","59,482","108,382","193,850","79,527","581,244","117,902","1,164,154","654,581","38,644","679,516","222,452","259,657","734,928","62,092","298,349","46,048","422,409","1,839,793","188,641","35,459","524,904","454,468","106,176","333,463","33,372","205,955"
        50 to 54 years,"316,964","42,306","431,427","181,449","2,498,846","351,748","248,669","61,552","34,592","1,404,353","711,163","87,290","105,735","812,897","415,981","183,760","165,301","284,617","269,022","91,478","408,427","464,618","648,462","347,212","178,548","369,957","60,879","107,687","203,116","98,949","635,909","117,127","1,300,037","698,866","40,261","745,436","226,197","262,377","839,835","71,245","324,695","48,735","449,297","1,787,723","169,449","42,363","555,026","472,978","115,895","368,777","32,159","210,019"
        55 to 59 years,"333,592","42,971","423,315","195,773","2,446,661","340,066","257,827","67,381","32,661","1,468,809","679,360","88,407","109,604","820,153","423,628","194,787","175,846","298,504","288,103","103,180","415,779","483,826","673,468","368,617","178,469","392,898","68,791","118,788","194,327","104,919","651,896","126,728","1,328,662","675,797","44,083","766,138","234,480","252,441","874,553","72,482","336,553","52,978","444,101","1,694,061","155,329","46,986","558,828","466,800","120,035","413,935","33,776","220,356"
        60 to 64 years,"342,214","46,642","456,696","191,325","2,327,199","362,628","262,951","76,220","33,577","1,509,806","657,166","92,693","117,636","831,252","447,903","219,654","194,222","302,262","302,798","110,983","422,127","479,670","723,695","388,638","197,727","434,282","79,953","123,741","196,383","112,402","632,933","143,559","1,366,092","692,418","49,011","823,595","253,900","275,747","939,177","82,991","359,375","62,045","470,589","1,628,037","156,248","49,984","562,217","489,728","130,090","420,115","41,586","221,782"
        65 to 69 years,"290,906","40,782","410,229","166,826","1,952,796","309,899","211,323","71,345","26,985","1,351,351","543,530","86,029","105,806","690,107","377,400","186,344","160,336","260,169","264,593","97,326","330,126","398,040","612,137","319,029","170,378","358,549","76,981","110,012","175,274","89,217","517,358","135,148","1,106,303","590,526","40,541","700,380","207,988","258,077","804,764","63,736","312,697","53,149","400,115","1,331,526","134,819","45,570","468,946","421,924","119,948","357,289","37,156","205,558"
        70 to 74 years,"249,317","26,509","374,138","147,804","1,616,408","249,243","168,116","54,062","23,546","1,241,909","453,411","76,527","88,739","572,936","307,386","152,381","134,213","215,591","212,155","86,645","276,863","332,745","506,121","261,964","138,175","294,320","59,421","85,973","148,449","77,636","405,830","104,890","936,473","516,446","32,841","582,773","183,454","233,072","663,024","55,280","293,855","44,686","331,986","1,093,505","107,020","36,791","386,957","359,106","106,638","289,827","29,262","178,605"
        75 to 79 years,"159,256","16,406","265,066","99,185","1,036,547","143,955","112,747","35,379","16,645","900,486","279,012","55,817","57,500","369,334","191,286","94,367","81,974","132,820","127,496","52,436","173,877","207,080","318,950","157,807","85,922","188,957","37,818","53,449","99,230","45,030","270,036","67,582","616,839","326,449","20,246","355,568","116,457","137,205","423,957","34,609","176,408","25,112","212,530","678,928","67,238","22,648","252,737","214,695","64,030","177,163","16,497","153,200"
        80 to 84 years,"104,574","8,004","156,443","59,497","680,328","95,138","73,716","21,804","8,061","572,496","170,344","28,574","31,635","241,987","122,514","65,432","57,412","84,199","87,415","31,632","114,160","129,696","194,535","110,015","56,909","124,207","22,813","34,871","53,023","30,189","183,895","43,725","402,998","192,693","13,705","236,635","72,702","84,151","280,718","21,611","99,835","17,064","130,536","420,578","41,404","14,332","150,963","132,452","42,338","114,536","9,875","105,865"
        85 years and over,"81,756","6,709","128,109","51,841","678,447","81,932","83,270","18,961","10,378","532,754","139,390","35,620","30,330","228,945","116,993","69,057","55,741","75,637","74,671","29,062","108,357","148,886","191,541","110,457","45,561","118,735","20,265","38,528","43,592","25,669","186,502","40,452","414,724","170,255","16,507","227,213","64,573","77,391","292,440","24,965","84,428","17,872","112,187","367,874","37,639","13,832","146,877","123,463","35,821","115,432","11,032","97,258"
